metric,sub_sector,scale_tier,geo,period,low,point,high,unit,n_observations,small_n_flag,source_basis,verification_status,source_count,citations,internal_anchor_count,dataroom_anchor_count,disagreement_flag,disagreement_note,overlay_factor_hook,overlay_neutral_value,notes
driver_turnover_pct_annual,all,all,national,2024-2026,0.15,0.26,0.33,fraction_annual,2,Y,mixed,verified,2,Project Evergreen HR DD (actual turnover)|2026-06-15|Deal_and_Person_Notes_V1.md|Evergreen actual driver turnover ~26% (up to 33% in 2025) vs management-stated 3%|verified;;Data-room labor lane (EPI/BLS driver shortage)|2026|02_Corp_Dev_Research/.../evidence_facts.csv|national school-bus driver shortage documented as severe (EPI/BLS)|unverifiable,1,1,N,,driver_market_risk,0.26,National signal. Per-state turnover not cleanly extractable at primary+High in the data room (PDF-bound) — DEFERRED; driver_market_risk resolves near-neutral nationally rather than fabricating per-state rates.
build_multiple_target,all,all,national,2026,8.0,8.0,12.0,multiple_of_EBITDA,2,Y,mixed,verified,2,Summit arbitrage thesis (Stakeholder-T)|2026-06-15|Deal_and_Person_Notes_V1.md|build toward a platform that could trade at ~8x (or 10-12x if First Student goes public)|verified;;FirstGroup/EQT precedent|2021-04|02_Corp_Dev_Research/Summit Research/06_Valuation-and-Transaction-Multiples/CLAUDE.md|~8.9x platform print corroborates the ~8x build target|verified,1,1,N,,none,8.0,Point=8.0 used for the value-creation-spread (build EV - entry EV). High=12 = First-Student-IPO upside.
capex_per_bus_new,all,all,national,bid-2026,113000,120000,139000,USD_per_vehicle,3,Y,summit_internal_bid,verified,1,"Summit bid teardowns (all-new fleet)|2026|Summit Pricing Models/_Teardowns/Summit — Cross-Deal Pricing Model Synthesis - v1.md|all-new capex/bus ~$113K (CCC), ~$139K (Alton); Type A (SpEd) cheaper|verified",3,0,N,,none,120000,New Type C/D. Replacement (used-fleet) capex is lower; see capex_replacement_per_bus.
capex_replacement_per_bus,all,all,national,2026,65000,76000,87000,USD_per_vehicle_over_3yr,1,Y,summit_internal_deal,verified,1,"Project Evergreen DD (fleet replacement)|2026-06-15|Summit Deals/Project Evergreen/Project_Evergreen_JFK_Transportation_Summary_V4.md|Year-1 capex $15-20M (~$19M) over 3 yrs on 230 vehicles, 80% fleet >10 yrs old => ~$65-87K/veh|verified",1,0,Y,n=1 (Evergreen); the JFK-grade capex-overhang signal.,none,76000,Fleet-age replacement capex can exceed cash purchase price (Evergreen ~$19M vs $18-20M cash).
contract_term_years_typical,all,all,national,2026,3,5,10,years,6,N,mixed,verified,1,Summit bids + deals|2026-06-15|Deal_and_Person_Notes_V1.md|bid terms 3+1+1 to 5+5; Brabe largest contract renewed 6yr (to 2031); North primary renewed 6-7yr|verified,6,0,N,,none,5,Contract tenure context; longer terms = more durable cash flows.
driver_labor_pct_revenue,all,all,national,bid-2026,0.33,0.46,0.58,fraction_of_revenue,4,Y,summit_internal_bid,verified,1,Summit bid teardowns + Notes §8.4|2026|Deal_and_Person_Notes_V1.md|driver labor ~33-58% of revenue across bids; modeled target band ~48.6%->43.2% (Notes §8.4)|verified,4,0,N,,none,0.46,Largest single cost line; context for cost structure (hook=none).
ebitda_margin_reported_survey,all,all,national,2024-2025,0.055,0.064,0.073,fraction_of_revenue,1,Y,external_precedent,unverifiable,1,"School Bus Fleet — State of School Bus Contracting survey|2025|02_Corp_Dev_Research/Summit Research/06_Valuation-and-Transaction-Multiples/CLAUDE.md|reported operator margin trend ~7.3% -> ~5.5% of revenue (trade survey, self-reported)|unverifiable",0,1,Y,Survey ~5.5-7.3% is operator NET margin incl. corporate overhead — far below Summit post-OH bid EBITDA (15-27%) and pipeline adj. EBITDA (15-34%). DIFFERENT DEFINITION.,none,0.064,Carried for context/disagreement only (hook=none). Not an anchor for implied EBITDA.
ebitda_margin_yr1_bid_post_oh,all,all,national,bid-2026,0.149,0.17,0.267,fraction_of_revenue,4,Y,summit_internal_bid,verified,1,"Summit bid teardowns|2026|Summit Pricing Models/_Teardowns/HSD 214 (Arlington Heights), IL — Pricing Model Teardown - v1.md|HSD214 Yr1 EBITDA% post-OH 14.9% (live) / 16.3% (PDF mid); Alton 26.7%; CCC 14.6-19.4%; Fresno op-margin 15.4% / 5yr-avg 18.4%|verified",4,0,Y,Bid-model post-OH EBITDA (what Summit underwrites to win) differs from operator reported/adjusted margin and from survey margin.,none,0.17,Context only (hook=none): do not use as the implied-EBITDA driver — use operator ebitda_margin.
ev_revenue_multiple,all,all,national,2025,0.65,0.72,0.78,multiple_of_revenue,1,Y,external_precedent,unverifiable,1,"Practitioner transport EV/revenue rule-of-thumb|2025|02_Corp_Dev_Research/Summit Research/06_Valuation-and-Transaction-Multiples/CLAUDE.md|~0.65-0.78x revenue (transport services datasets, to verify)|unverifiable",0,1,N,,none,0.72,Cross-check only; EBITDA multiple preferred.
incremental_route_contribution_margin_pct,Y,all,national,2026,0.4,0.4,0.4,fraction,1,Y,dataroom_synthesis,verified,1,Transcript (via Onboarding memo)|2026|02_Corp_Dev_Research/Research Database Work/Onboarding Day Materials/Analysis Outputs/Onboarding_Market_Strategy_Memo.md|incremental route contribution margin ~ 40%|verified,0,1,N,,none,0.4,Why route density / cascade synergies matter; informs synergy logic.
